java_file,rust_file,target_crate,rust_type,capability,status,test_evidence,source_commit
sa-token-demo/sa-token-demo-case/src/main/java/com/pj/satoken/merge_annotation/SaUserCheckLogin.java,crates/sa-token-demo/sa-token-demo-axum-case/src/scenario/sa_token_demo_case_com_pj_satoken_merge_annotation_sa_user_check_login.rs,sa-token-demo-axum-case,SaUserCheckLogin,demo,complete,crates/sa-token-demo/sa-token-demo-axum-case/tests/demo_compile_test.rs,902886c2149261ccb53a9c982068b7ccd0990237
sa-token-demo/sa-token-demo-case/src/main/java/com/pj/satoken/merge_annotation/SaUserCheckPermission.java,crates/sa-token-demo/sa-token-demo-axum-case/src/scenario/sa_token_demo_case_com_pj_satoken_merge_annotation_sa_user_check_permission.rs,sa-token-demo-axum-case,SaUserCheckPermission,demo,complete,crates/sa-token-demo/sa-token-demo-axum-case/tests/demo_compile_test.rs,902886c2149261ccb53a9c982068b7ccd0990237
sa-token-demo/sa-token-demo-case/src/main/java/com/pj/satoken/merge_annotation/SaUserCheckRole.java,crates/sa-token-demo/sa-token-demo-axum-case/src/scenario/sa_token_demo_case_com_pj_satoken_merge_annotation_sa_user_check_role.rs,sa-token-demo-axum-case,SaUserCheckRole,demo,complete,crates/sa-token-demo/sa-token-demo-axum-case/tests/demo_compile_test.rs,902886c2149261ccb53a9c982068b7ccd0990237
sa-token-demo/sa-token-demo-case/src/main/java/com/pj/satoken/merge_annotation/SaUserCheckSafe.java,crates/sa-token-demo/sa-token-demo-axum-case/src/scenario/sa_token_demo_case_com_pj_satoken_merge_annotation_sa_user_check_safe.rs,sa-token-demo-axum-case,SaUserCheckSafe,demo,complete,crates/sa-token-demo/sa-token-demo-axum-case/tests/demo_compile_test.rs,902886c2149261ccb53a9c982068b7ccd0990237
sa-token-demo/sa-token-demo-device-lock/src/main/java/com/pj/SaTokenDeviceLockApplication.java,crates/sa-token-demo/sa-token-demo-axum-device-lock/src/main.rs,sa-token-demo-axum-device-lock,SaTokenDeviceLockApplication,demo,complete,crates/sa-token-demo/sa-token-demo-axum-device-lock/tests/demo_compile_test.rs,902886c2149261ccb53a9c982068b7ccd0990237
sa-token-demo/sa-token-demo-device-lock/src/main/java/com/pj/current/GlobalException.java,crates/sa-token-demo/sa-token-demo-axum-device-lock/src/util.rs,sa-token-demo-axum-device-lock,GlobalException,demo,complete,crates/sa-token-demo/sa-token-demo-axum-device-lock/tests/demo_compile_test.rs,902886c2149261ccb53a9c982068b7ccd0990237
sa-token-demo/sa-token-demo-device-lock/src/main/java/com/pj/current/NotFoundHandle.java,crates/sa-token-demo/sa-token-demo-axum-device-lock/src/util/ajax_json.rs,sa-token-demo-axum-device-lock,NotFoundHandle,demo,complete,crates/sa-token-demo/sa-token-demo-axum-device-lock/tests/demo_compile_test.rs,902886c2149261ccb53a9c982068b7ccd0990237
sa-token-demo/sa-token-demo-device-lock/src/main/java/com/pj/satoken/SaTokenConfigure.java,crates/sa-token-demo/sa-token-demo-actix-device-lock/src/main.rs,sa-token-demo-actix-device-lock,SaTokenConfigure,demo,complete,crates/sa-token-demo/sa-token-demo-axum-device-lock/tests/demo_compile_test.rs,902886c2149261ccb53a9c982068b7ccd0990237
sa-token-demo/sa-token-demo-device-lock/src/main/java/com/pj/test/LoginController.java,crates/sa-token-demo/sa-token-demo-actix-device-lock/src/util.rs,sa-token-demo-actix-device-lock,LoginController,demo,complete,crates/sa-token-demo/sa-token-demo-axum-device-lock/tests/demo_compile_test.rs,902886c2149261ccb53a9c982068b7ccd0990237
sa-token-demo/sa-token-demo-device-lock/src/main/java/com/pj/test/SysUserMockDao.java,crates/sa-token-demo/sa-token-demo-actix-device-lock/src/util/ajax_json.rs,sa-token-demo-actix-device-lock,SysUserMockDao,demo,complete,crates/sa-token-demo/sa-token-demo-axum-device-lock/tests/demo_compile_test.rs,902886c2149261ccb53a9c982068b7ccd0990237
